Categorical_Column,Action_Taken,Chi-Squared,P-Value
combined_loan_to_value_ratio,1,1273.817419095276,2.2536100874606288e-262
interest_rate,1,22722.199142774894,0.0
total_loan_costs,1,47408.09262756864,0.0
origination_charges,1,27910.66679145362,0.0
loan_term,1,99.08795353848441,3.8886876892303376e-19
property_value,1,2657.4634549717794,2.694776512993683e-299
total_units,1,199.27111427041524,5.3898762011326774e-42
debt_to_income_ratio,1,10509.767680650222,0.0
applicant_age,1,448.65165989305206,9.574815689027603e-94
co_applicant_age,1,453.63723149090083,8.092516213187871e-95
applicant_ethnicity_1,1,594.725869997615,2.3494848836866886e-131
co_applicant_ethnicity_1,1,599.9486932520682,1.7177448664114318e-132
applicant_race_1,1,791.9125047692291,3.0934228113754665e-174
co_applicant_race_1,1,754.2524631839659,4.77272523798666e-166
applicant_sex,1,253.5474605741269,1.118255473668755e-54
co_applicant_sex,1,215.30677664465776,1.7649300332674191e-47
combined_loan_to_value_ratio,3,1273.817419095276,2.2536100874606288e-262
interest_rate,3,22722.199142774894,0.0
total_loan_costs,3,47408.09262756865,0.0
origination_charges,3,27910.66679145362,0.0
loan_term,3,99.0879535384844,3.888687689230366e-19
property_value,3,2657.463454971779,2.694776512994297e-299
total_units,3,199.27111427041524,5.3898762011326774e-42
debt_to_income_ratio,3,10509.767680650224,0.0
applicant_age,3,448.651659893052,9.574815689027603e-94
co_applicant_age,3,453.63723149090083,8.092516213187871e-95
applicant_ethnicity_1,3,594.7258699976151,2.349484883686556e-131
co_applicant_ethnicity_1,3,599.9486932520683,1.7177448664113333e-132
applicant_race_1,3,791.9125047692291,3.0934228113754665e-174
co_applicant_race_1,3,754.252463183966,4.7727252379863864e-166
applicant_sex,3,253.5474605741269,1.118255473668755e-54
co_applicant_sex,3,215.30677664465776,1.7649300332674191e-47
