Categorical_Column,Action_Taken,Chi-Squared,P-Value
combined_loan_to_value_ratio,1,43234.055734157424,1.7292317056280682e-203
interest_rate,1,0.0,1.0
total_loan_costs,1,0.0,1.0
origination_charges,1,0.0,1.0
loan_term,1,329.7490209060949,3.4233791426904647e-68
property_value,1,6453.269959731437,0.0
total_units,1,421.4595541275547,4.972393300200359e-91
debt_to_income_ratio,1,35555.38402106279,0.0
applicant_age,1,1183.2222482461016,2.9984994338963942e-251
co_applicant_age,1,1097.3383947706361,7.855420322373081e-234
applicant_ethnicity_1,1,1473.5086135896856,0.0
co_applicant_ethnicity_1,1,1427.8595543894276,0.0
applicant_race_1,1,1467.0334961784129,0.0
co_applicant_race_1,1,1528.517715660813,0.0
applicant_sex,1,439.6781455423177,3.3504549958450127e-96
co_applicant_sex,1,376.0821888085163,3.353682840522038e-81
combined_loan_to_value_ratio,3,43234.055734157424,1.7292317056280682e-203
interest_rate,3,0.0,1.0
total_loan_costs,3,0.0,1.0
origination_charges,3,0.0,1.0
loan_term,3,329.7490209060949,3.4233791426904647e-68
property_value,3,6453.269959731437,0.0
total_units,3,421.4595541275547,4.972393300200359e-91
debt_to_income_ratio,3,35555.38402106279,0.0
applicant_age,3,1183.2222482461016,2.9984994338963942e-251
co_applicant_age,3,1097.3383947706363,7.855420322372187e-234
applicant_ethnicity_1,3,1473.5086135896856,0.0
co_applicant_ethnicity_1,3,1427.8595543894276,0.0
applicant_race_1,3,1467.0334961784129,0.0
co_applicant_race_1,3,1528.517715660813,0.0
applicant_sex,3,439.6781455423177,3.3504549958450127e-96
co_applicant_sex,3,376.0821888085163,3.353682840522038e-81
