loan_type,loan_amount,action_taken,occupancy_type,census_tract,applicant_ethnicity_1,co_applicant_ethnicity_1,applicant_race_1,applicant_race_2,co_applicant_race_1,co_applicant_race_2,applicant_sex,co_applicant_sex,applicant_age,co_applicant_age,income,lien_status,applicant_credit_score_type,co_applicant_credit_score_type,origination_charges,discount_points,lender_credits,interest_rate,debt_to_income_ratio,combined_loan_to_value_ratio,loan_term,property_value,manufactured_home_secured_property_type,total_units,aus_1,reverse_mortgage,open_end_line_of_credit,manufactured_home_land_property_interest,total_loan_costs,total_points_and_fees,prepayment_penalty_term,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,multifamily_affordable_units,"('applicant_race_2',)","('co_applicant_race_2',)"
2,115000,3,1,9003416400,2,5,3,0,8,0,1,5,1,6,41,1,9,10,0,0,0,0,16,163,14,8,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,345000,2,1,42017102401,2,2,6,0,6,0,1,2,2,3,220,1,1,1,0,0,0,9,1,113,5,39,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
2,225000,5,1,34039034300,1,1,5,0,5,0,1,2,2,2,78,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
2,125000,5,1,42055011302,2,5,5,0,8,0,2,5,4,6,0,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,125000,5,1,30111000702,2,5,5,0,8,0,2,5,3,6,35,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
2,275000,2,1,6095251902,1,5,5,0,8,0,1,5,0,6,57,1,1,10,0,0,0,11,1,59,14,39,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
2,125000,2,1,22071001730,2,5,3,0,8,0,1,5,0,6,0,1,1,10,0,0,0,11,17,0,14,0,3,1,6,2,2,5,0,0,0,2,2,2,2,0,0,6
1,355000,1,1,42091200103,2,2,5,0,5,0,1,2,1,8,124,1,2,3,88,64,0,17,5,96,14,43,3,1,1,2,2,5,632,0,0,2,2,2,2,0,0,6
1,265000,1,1,6067005701,2,5,5,0,8,0,2,5,2,6,49,1,2,10,0,0,0,9,2,106,14,30,3,1,6,2,2,5,52,0,0,2,2,2,2,0,0,6
1,85000,5,1,32003002847,2,2,5,0,5,0,1,2,7,8,17,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,105000,5,1,12019030304,2,5,6,0,8,0,2,5,1,6,44,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
2,215000,5,1,13089021208,2,5,3,0,8,0,1,5,0,6,99,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,265000,5,1,37081013700,2,5,5,0,8,0,1,5,1,6,99,1,9,9,0,0,0,0,19,0,5,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
2,285000,1,1,55133203304,2,2,5,0,5,0,1,2,1,1,109,1,2,9,0,0,0,16,16,128,14,29,3,1,6,2,2,5,583,0,0,2,2,2,2,0,0,6
2,525000,5,1,6073021202,3,3,6,0,6,0,3,3,2,2,0,1,9,9,0,0,0,0,19,0,10,0,3,1,6,2,2,5,0,0,0,2,2,2,2,0,0,6
2,255000,6,1,45015020707,4,4,7,0,7,0,4,4,5,5,0,1,9,9,0,0,0,9,19,0,14,23,3,1,6,2,2,5,558,0,0,2,2,2,2,0,0,6
1,295000,1,1,55133204002,2,5,5,0,8,0,2,5,1,6,80,1,1,10,46,44,0,9,3,152,14,28,3,1,6,2,2,5,476,0,0,2,2,2,2,0,0,6
1,325000,6,1,10003016602,4,5,7,0,8,0,4,5,5,6,0,1,9,9,0,0,0,12,19,0,14,47,3,1,6,2,2,5,216,0,0,2,2,2,2,0,0,6
3,365000,6,1,44003021903,4,4,7,0,7,0,4,4,5,5,0,1,9,9,1,0,0,4,19,0,14,37,3,1,6,2,2,5,136,0,0,2,2,2,2,0,0,6
1,305000,6,1,29047021309,4,4,7,0,7,0,4,4,5,5,0,1,9,9,0,0,0,14,19,0,14,38,3,1,6,2,2,5,44,0,0,2,2,2,2,0,0,6
1,185000,5,1,27053026816,2,2,2,6,2,6,1,1,6,1,45,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,6,5
1,475000,1,1,6073009505,3,3,6,0,6,0,1,2,1,1,132,1,2,9,0,0,0,7,4,29,14,77,3,1,6,2,2,5,131,0,0,2,2,2,2,0,0,6
1,235000,1,1,4013420211,2,5,5,0,8,0,1,5,3,6,98,1,3,10,0,0,0,16,0,104,14,26,3,1,6,2,2,5,114,0,0,2,2,2,2,0,0,6
1,185000,1,1,27123041301,2,2,5,0,5,0,2,1,0,0,216,1,2,9,0,0,0,9,17,52,14,26,3,1,6,2,2,5,38,0,0,2,2,2,2,0,0,6
1,115000,1,1,29071800601,2,5,5,0,8,0,2,5,0,6,24,1,1,10,0,0,0,10,1,116,14,11,3,1,6,2,2,5,15,0,0,2,2,2,2,0,0,6
3,385000,1,1,36047093800,3,5,6,0,8,0,3,5,4,6,55,1,1,10,1,0,0,6,11,49,14,58,3,2,6,2,2,5,285,0,0,2,2,2,2,0,0,6
1,325000,5,3,12127082701,2,5,5,0,8,0,1,5,2,6,193,1,9,9,0,0,0,0,19,0,14,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,115000,5,1,48439111516,2,2,5,0,5,0,1,2,3,2,35,1,9,9,0,0,0,0,19,0,5,0,3,1,1,2,2,5,0,0,0,2,2,2,2,0,0,6
1,225000,1,1,48491020701,2,2,5,0,5,0,1,2,1,1,103,1,2,9,0,0,0,10,1,133,14,23,3,1,6,2,2,5,341,0,0,2,2,2,2,0,0,6
